エリア,対象分類,3月1日,3月2日,3月3日,3月4日,3月5日,3月6日,3月7日,3月8日,3月9日,3月10日,3月11日,3月12日,3月13日,3月14日,3月15日,3月16日,3月17日,3月18日,3月19日,3月20日,3月21日,3月22日,3月23日,3月24日,3月25日,3月26日,3月27日,3月28日,3月29日,3月30日,3月31日
,来訪者,124000,347000,345000,338000,341000,340000,154000,115000,344000,341000,336000,340000,339000,150000,129000,350000,348000,348000,352000,160000,159000,132000,349000,350000,350000,347000,323000,132000,93200,315000,314000
目黒区,全体,381000,480000,483000,476000,481000,485000,404000,372000,481000,480000,481000,484000,489000,400000,386000,487000,487000,484000,493000,411000,414000,390000,486000,488000,488000,490000,478000,380000,347700,468000,465000
,住人,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000
,来訪者,111000,210000,213000,206000,211000,215000,134000,102000,211000,210000,211000,214000,219000,130000,116000,217000,217000,214000,223000,141000,144000,120000,216000,218000,218000,220000,208000,110000,77700,198000,195000
大田区,全体,848000,982000,983000,976000,981000,984000,875000,837000,979000,978000,976000,983000,983000,869000,850000,985000,983000,986000,990000,882000,883000,856000,984000,986000,985000,988000,977000,858000,818000,968000,967000
,住人,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000
,来訪者,140000,274000,275000,268000,273000,276000,167000,129000,271000,270000,268000,275000,275000,161000,142000,277000,275000,278000,282000,174000,175000,148000,276000,278000,277000,280000,269000,150000,110000,260000,259000
世田谷区,全体,1045000,1160000,1163000,1154000,1161000,1169000,1083000,1035000,1161000,1158000,1159000,1166000,1170000,1077000,1053000,1167000,1167000,1168000,1175000,1095000,1098000,1059000,1166000,1170000,1169000,1171000,1164000,1057000,1007000,1153000,1150000
,住人,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000
,来訪者,164000,279000,282000,273000,280000,288000,202000,154000,280000,277000,278000,285000,289000,196000,172000,286000,286000,287000,294000,214000,217000,178000,285000,289000,288000,290000,283000,176000,126000,272000,269000
渋谷区,全体,415000,684000,684000,672000,680000,683000,463000,401000,681000,676000,674000,683000,686000,457000,418000,688000,687000,683000,696000,474000,478000,426000,687000,689000,687000,685000,657000,403000,341000,644000,639000
,住人,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000
,来訪者,201000,470000,470000,458000,466000,469000,249000,187000,467000,462000,460000,469000,472000,243000,204000,474000,473000,469000,482000,260000,264000,212000,473000,475000,473000,471000,443000,189000,127000,430000,425000
中野区,全体,442000,530000,531000,524000,530000,531000,461000,435000,530000,526000,526000,529000,533000,458000,444000,531000,534000,532000,537000,466000,471000,449000,534000,536000,533000,536000,528000,444000,414600,520000,519000
,住人,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000,322000
,来訪者,120000,208000,209000,202000,208000,209000,139000,113000,208000,204000,204000,207000,211000,136000,122000,209000,212000,210000,215000,144000,149000,127000,212000,214000,211000,214000,206000,122000,92600,198000,197000
杉並区,全体,671000,740000,744000,736000,742000,746000,693000,665000,742000,738000,740000,744000,748000,689000,676000,744000,745000,746000,750000,701000,706000,681000,745000,746000,746000,748000,745000,677000,645300,735000,733000
,住人,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000,552000
,来訪者,119000,188000,192000,184000,190000,194000,141000,113000,190000,186000,188000,192000,196000,137000,124000,192000,193000,194000,198000,149000,154000,129000,193000,194000,194000,196000,193000,125000,93300,183000,181000
豊島区,全体,426000,558000,559000,548000,556000,560000,453000,417000,556000,555000,553000,558000,562000,448000,427000,561000,562000,560000,568000,459000,461000,433000,562000,566000,563000,561000,554000,423000,385000,542000,543000
,住人,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000,278000
,来訪者,148000,280000,281000,270000,278000,282000,175000,139000,278000,277000,275000,280000,284000,170000,149000,283000,284000,282000,290000,181000,183000,155000,284000,288000,285000,283000,276000,145000,107000,264000,265000
北区,全体,456000,533000,534000,530000,533000,535000,474000,449000,533000,530000,534000,534000,537000,471000,457000,536000,536000,538000,541000,481000,484000,464000,536000,539000,539000,537000,532000,461000,431000,525000,525000
,住人,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000
,来訪者,115000,192000,193000,189000,192000,194000,133000,108000,192000,189000,193000,193000,196000,130000,116000,195000,195000,197000,200000,140000,143000,123000,195000,198000,198000,196000,191000,120000,90000,184000,184000
荒川区,全体,294200,361000,362000,358000,360000,362000,309000,288200,360000,360000,361000,362000,365000,306200,295600,362000,364000,366000,369000,314000,317000,302800,363000,367000,367000,364000,359000,295900,274300,353000,352000
,住人,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000
,来訪者,84200,151000,152000,148000,150000,152000,99000,78200,150000,150000,151000,152000,155000,96200,85600,152000,154000,156000,159000,104000,107000,92800,153000,157000,157000,154000,149000,85900,64300,143000,142000
板橋区,全体,656000,719000,723000,717000,721000,724000,677000,651000,721000,720000,722000,723000,726000,672000,658000,722000,724000,725000,728000,680000,685000,662000,723000,724000,727000,727000,723000,666000,632900,716000,717000
,住人,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000
,来訪者,105000,168000,172000,166000,170000,173000,126000,100000,170000,169000,171000,172000,175000,121000,107000,171000,173000,174000,177000,129000,134000,111000,172000,173000,176000,176000,172000,115000,81900,165000,166000
練馬区,全体,826000,867000,870000,865000,869000,872000,842000,819000,869000,867000,868000,870000,874000,837000,828000,872000,872000,872000,875000,845000,851000,833000,871000,872000,873000,874000,872000,831000,801800,866000,866000
,住人,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000
,来訪者,114000,155000,158000,153000,157000,160000,130000,107000,157000,155000,156000,158000,162000,125000,116000,160000,160000,160000,163000,133000,139000,121000,159000,160000,161000,162000,160000,119000,89800,154000,154000
足立区,全体,801000,874000,876000,869000,874000,877000,821000,792000,874000,872000,874000,875000,880000,817000,804000,877000,877000,878000,883000,828000,833000,810000,877000,880000,881000,880000,874000,807000,772000,867000,866000
,住人,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000
,来訪者,130000,203000,205000,198000,203000,206000,150000,121000,203000,201000,203000,204000,209000,146000,133000,206000,206000,207000,212000,157000,162000,139000,206000,209000,210000,209000,203000,136000,101000,196000,195000
葛飾区,全体,545100,596000,598000,593000,596000,598000,560000,538200,598000,596000,597000,597000,601000,555000,548700,599000,599000,601000,604000,565000,569000,552000,599000,600000,601000,600000,596000,547900,523500,591000,589000
,住人,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000
,来訪者,94100,145000,147000,142000,145000,147000,109000,87200,147000,145000,146000,146000,150000,104000,97700,148000,148000,150000,153000,114000,118000,101000,148000,149000,150000,149000,145000,96900,72500,140000,138000
江戸川区,全体,790000,854000,856000,851000,854000,856000,807000,783000,855000,852000,855000,857000,859000,802000,794000,858000,856000,857000,859000,809000,815000,797000,857000,857000,858000,858000,854000,796000,768800,848000,847000
,住人,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000
,来訪者,110000,174000,176000,171000,174000,176000,127000,103000,175000,172000,175000,177000,179000,122000,114000,178000,176000,177000,179000,129000,135000,117000,177000,177000,178000,178000,174000,116000,88800,168000,167000
