エリア,対象分類,2月1日,2月2日,2月3日,2月4日,2月5日,2月6日,2月7日,2月8日,2月9日,2月10日,2月11日,2月12日,2月13日,2月14日,2月15日,2月16日,2月17日,2月18日,2月19日,2月20日,2月21日,2月22日,2月23日,2月24日,2月25日,2月26日,2月27日,2月28日,2月29日,3月1日,3月2日,3月3日,3月4日,3月5日,3月6日,3月7日,3月8日,3月9日,3月10日,3月11日,3月12日,3月13日,3月14日,3月15日,3月16日,3月17日,3月18日,3月19日,3月20日,3月21日,3月22日,3月23日,3月24日,3月25日,3月26日,3月27日,3月28日,3月29日,3月30日,3月31日,4月1日,4月2日,4月3日,4月4日,4月5日,4月6日,4月7日,4月8日
北区,住人,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000,341000
北区,来訪者,156000,129000,205000,207000,206000,208000,210000,154000,125000,199000,136000,207000,208000,211000,155000,121000,204000,203000,206000,205000,209000,151000,125000,128000,203000,203000,201000,203000,139000,115000,192000,193000,189000,192000,194000,133000,108000,192000,189000,193000,193000,196000,130000,116000,195000,195000,197000,200000,140000,143000,123000,195000,198000,198000,196000,191000,120000,90000,184000,184000,176000,178000,180000,117000,93200,177000,171000,161000
荒川区,全体,326000,306000,370000,374000,375000,374000,377000,325000,303900,366000,310000,374000,376000,380000,327000,299900,370000,371000,372000,373000,376000,323000,304900,305500,369000,371000,369000,370000,313000,294200,361000,362000,358000,360000,362000,309000,288200,360000,360000,361000,362000,365000,306200,295600,362000,364000,366000,369000,314000,317000,302800,363000,367000,367000,364000,359000,295900,274300,353000,352000,346000,347000,349000,293200,275800,345000,340000,330000
荒川区,住人,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,209000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000
荒川区,来訪者,117000,97000,161000,165000,166000,165000,168000,116000,94900,157000,101000,165000,167000,171000,118000,90900,161000,162000,163000,164000,167000,114000,95900,96500,160000,162000,160000,161000,104000,84200,151000,152000,148000,150000,152000,99000,78200,150000,150000,151000,152000,155000,96200,85600,152000,154000,156000,159000,104000,107000,92800,153000,157000,157000,154000,149000,85900,64300,143000,142000,136000,137000,139000,83200,65800,135000,130000,120000
板橋区,全体,691000,665000,728000,730000,731000,732000,733000,689000,664000,727000,674000,731000,730000,734000,692000,660000,730000,729000,730000,731000,733000,690000,667000,669000,730000,728000,727000,729000,681000,656000,719000,723000,717000,721000,724000,677000,651000,721000,720000,722000,723000,726000,672000,658000,722000,724000,725000,728000,680000,685000,662000,723000,724000,727000,727000,723000,666000,632900,716000,717000,709000,711000,714000,664000,638800,711000,706000,697000
板橋区,住人,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,550000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000,551000
板橋区,来訪者,141000,115000,178000,180000,181000,182000,183000,139000,114000,177000,124000,181000,180000,184000,142000,110000,180000,179000,180000,181000,183000,140000,117000,119000,180000,178000,177000,179000,131000,105000,168000,172000,166000,170000,173000,126000,100000,170000,169000,171000,172000,175000,121000,107000,171000,173000,174000,177000,129000,134000,111000,172000,173000,176000,176000,172000,115000,81900,165000,166000,158000,160000,163000,113000,87800,160000,155000,146000
練馬区,全体,854000,835000,875000,876000,876000,877000,879000,851000,831000,874000,838000,875000,876000,879000,852000,827000,877000,875000,875000,876000,880000,852000,835000,836000,876000,874000,874000,876000,844000,826000,867000,870000,865000,869000,872000,842000,819000,869000,867000,868000,870000,874000,837000,828000,872000,872000,872000,875000,845000,851000,833000,871000,872000,873000,874000,872000,831000,801800,866000,866000,856000,861000,863000,829000,809000,861000,856000,849000
練馬区,住人,711000,711000,711000,711000,711000,711000,711000,711000,711000,711000,711000,711000,711000,711000,711000,711000,711000,711000,711000,711000,711000,711000,711000,711000,711000,711000,711000,711000,711000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000,712000
練馬区,来訪者,143000,124000,164000,165000,165000,166000,168000,140000,120000,163000,127000,164000,165000,168000,141000,116000,166000,164000,164000,165000,169000,141000,124000,125000,165000,163000,163000,165000,133000,114000,155000,158000,153000,157000,160000,130000,107000,157000,155000,156000,158000,162000,125000,116000,160000,160000,160000,163000,133000,139000,121000,159000,160000,161000,162000,160000,119000,89800,154000,154000,144000,149000,151000,117000,97000,149000,144000,137000
足立区,全体,842000,814000,884000,885000,886000,887000,890000,841000,812000,882000,820000,886000,888000,894000,841000,805000,884000,885000,884000,885000,891000,837000,813000,815000,883000,884000,881000,887000,826000,801000,874000,876000,869000,874000,877000,821000,792000,874000,872000,874000,875000,880000,817000,804000,877000,877000,878000,883000,828000,833000,810000,877000,880000,881000,880000,874000,807000,772000,867000,866000,857000,861000,864000,806000,777000,859000,853000,842000
足立区,住人,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,670000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000,671000
足立区,来訪者,172000,144000,214000,215000,216000,217000,220000,171000,142000,212000,150000,216000,218000,224000,171000,135000,214000,215000,214000,215000,221000,167000,143000,145000,213000,214000,211000,217000,156000,130000,203000,205000,198000,203000,206000,150000,121000,203000,201000,203000,204000,209000,146000,133000,206000,206000,207000,212000,157000,162000,139000,206000,209000,210000,209000,203000,136000,101000,196000,195000,186000,190000,193000,135000,106000,188000,182000,171000
葛飾区,全体,574000,556000,605000,606000,607000,607000,608000,573000,555000,604000,559000,606000,608000,611000,573000,548100,606000,605000,604000,605000,609000,570000,555000,554000,604000,603000,602000,606000,562000,545100,596000,598000,593000,596000,598000,560000,538200,598000,596000,597000,597000,601000,555000,548700,599000,599000,601000,604000,565000,569000,552000,599000,600000,601000,600000,596000,547900,523500,591000,589000,583000,586000,589000,547800,527800,586000,579000,572000
葛飾区,住人,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000,451000
葛飾区,来訪者,124000,106000,155000,156000,157000,157000,158000,123000,105000,154000,109000,156000,158000,161000,123000,98100,156000,155000,154000,155000,159000,120000,105000,104000,154000,153000,152000,156000,112000,94100,145000,147000,142000,145000,147000,109000,87200,147000,145000,146000,146000,150000,104000,97700,148000,148000,150000,153000,114000,118000,101000,148000,149000,150000,149000,145000,96900,72500,140000,138000,132000,135000,138000,96800,76800,135000,128000,121000
江戸川区,全体,828000,807000,869000,869000,871000,870000,872000,825000,805000,865000,812000,869000,870000,873000,827000,799000,871000,869000,867000,870000,874000,824000,808000,807000,867000,866000,865000,867000,812000,790000,854000,856000,851000,854000,856000,807000,783000,855000,852000,855000,857000,859000,802000,794000,858000,856000,857000,859000,809000,815000,797000,857000,857000,858000,858000,854000,796000,768800,848000,847000,839000,842000,844000,793000,770700,841000,836000,829000
江戸川区,住人,679000,679000,679000,679000,679000,679000,679000,679000,679000,679000,679000,679000,679000,679000,679000,679000,679000,679000,679000,679000,679000,679000,679000,679000,679000,679000,679000,679000,679000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,680000,679000,679000,679000,679000,679000,679000,679000,679000
江戸川区,来訪者,149000,128000,190000,190000,192000,191000,193000,146000,126000,186000,133000,190000,191000,194000,148000,120000,192000,190000,188000,191000,195000,145000,129000,128000,188000,187000,186000,188000,133000,110000,174000,176000,171000,174000,176000,127000,103000,175000,172000,175000,177000,179000,122000,114000,178000,176000,177000,179000,129000,135000,117000,177000,177000,178000,178000,174000,116000,88800,168000,167000,160000,163000,165000,114000,91700,162000,157000,150000
