エリア,対象分類,2月1日,2月2日,2月3日,2月4日,2月5日,2月6日,2月7日,2月8日,2月9日,2月10日,2月11日,2月12日,2月13日,2月14日,2月15日,2月16日,2月17日,2月18日,2月19日,2月20日,2月21日,2月22日,2月23日,2月24日,2月25日,2月26日,2月27日,2月28日,2月29日,3月1日,3月2日,3月3日,3月4日,3月5日,3月6日,3月7日,3月8日,3月9日,3月10日,3月11日,3月12日,3月13日,3月14日,3月15日,3月16日,3月17日,3月18日,3月19日,3月20日,3月21日,3月22日,3月23日,3月24日,3月25日,3月26日,3月27日,3月28日,3月29日,3月30日,3月31日,4月1日,4月2日,4月3日,4月4日,4月5日,4月6日,4月7日,4月8日
新宿区,全体,691000,610000,973000,980000,971000,979000,985000,683000,604000,941000,633000,971000,975000,990000,689000,595000,967000,969000,959000,968000,972000,672000,600000,603000,963000,957000,949000,951000,635000,558000,925000,926000,909000,917000,919000,621000,546000,922000,917000,910000,916000,923000,614000,565000,929000,935000,929000,937000,631000,634000,578000,931000,936000,932000,926000,901000,561000,485000,888000,891000,863000,858000,854000,545000,484000,839000,816000,754000
新宿区,住人,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,328000,328000,328000,328000,328000,328000,328000,328000,328000,328000,328000,328000,328000,328000,328000,328000,328000,328000,328000,328000,328000,328000,328000,328000,328000,328000,328000,328000,328000,328000,328000,327000,327000,327000,327000,327000,327000,327000,327000
新宿区,来訪者,364000,283000,646000,653000,644000,652000,658000,356000,277000,614000,306000,644000,648000,663000,362000,268000,640000,642000,632000,641000,645000,345000,273000,276000,636000,630000,622000,624000,308000,230000,597000,598000,581000,589000,591000,293000,218000,594000,589000,582000,588000,595000,286000,237000,601000,607000,601000,609000,303000,306000,250000,603000,608000,604000,598000,573000,233000,157000,560000,563000,536000,531000,527000,218000,157000,512000,489000,427000
文京区,全体,439000,392000,594000,601000,599000,601000,606000,437000,390000,577000,407000,595000,601000,609000,443000,381000,589000,592000,590000,591000,596000,426000,385000,384000,584000,583000,577000,581000,402000,355000,557000,561000,551000,556000,561000,390000,344000,556000,553000,555000,560000,563000,384000,360000,562000,567000,569000,573000,400000,407000,373000,569000,570000,571000,564000,546000,352000,307400,534000,533000,521000,519000,521000,344000,308200,514000,498000,465000
文京区,住人,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000,212000
文京区,来訪者,227000,180000,382000,389000,387000,389000,394000,225000,178000,365000,195000,383000,389000,397000,231000,169000,377000,380000,378000,379000,384000,214000,173000,172000,372000,371000,365000,369000,190000,143000,345000,349000,339000,344000,349000,178000,132000,344000,341000,343000,348000,351000,172000,148000,350000,355000,357000,361000,188000,195000,161000,357000,358000,359000,352000,334000,140000,95400,322000,321000,309000,307000,309000,132000,96200,302000,286000,253000
台東区,全体,375000,337000,491000,499000,496000,496000,502000,371000,337000,481000,350000,496000,501000,508000,377000,327000,491000,492000,490000,493000,497000,366000,335000,333000,486000,485000,481000,484000,345000,309000,466000,468000,459000,464000,468000,337000,298000,465000,464000,464000,467000,472000,331000,311000,470000,472000,474000,481000,348000,352000,323000,474000,476000,476000,472000,458000,307000,267600,449000,444000,433000,433000,434000,299000,268600,428000,416000,390000
台東区,住人,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,191000,190000,190000,190000,190000,190000,190000,190000,190000
台東区,来訪者,185000,147000,301000,309000,306000,306000,312000,181000,147000,291000,160000,306000,311000,318000,187000,137000,301000,302000,300000,303000,307000,176000,145000,143000,296000,295000,291000,294000,155000,118000,275000,277000,268000,273000,277000,146000,107000,274000,273000,273000,276000,281000,140000,120000,279000,281000,283000,290000,157000,161000,132000,283000,285000,285000,281000,267000,116000,76600,258000,253000,243000,243000,244000,109000,78600,238000,226000,200000
墨田区,全体,405000,380000,478000,480000,482000,481000,483000,402000,379000,471000,385000,479000,482000,486000,405000,369000,478000,478000,477000,478000,481000,397000,378000,376000,475000,473000,472000,472000,386000,360700,457000,460000,453000,457000,459000,379000,352000,458000,456000,457000,460000,462000,374000,363000,461000,463000,465000,468000,386000,390000,370000,463000,466000,466000,464000,454000,360100,331600,448000,446000,437000,439000,440000,357900,333700,435000,428000,412000
